X;2,8;2;1,6;2,5;light-ideal;light-low;light-estrapolated;light-mixed;out-1;out-2;out-3
0,3;1,114314938;1,192046434;1,249669149;0,954092815;1;1;1;1;76,92307692;83,33333333;90,90909091
0,2;51,75396906;33,89901836;36,97752289;30,35808866;0,631;0,635041033;0,669494596;0,669494596;52,63157895;55,55555556;62,5
0,1;9,154184484;9,51879889;9,234026174;10,28985163;0,5012;0,43016619;0,529934399;0,529934399;41,66666667;45,45454545;50
0;9,932390985;9,548144741;10,39986031;9,708744335;0,3981;0,43819421;0,439086436;0,439086436;37,03703704;40;43,47826087
-0,1;9,781889764;9,211096333;10,29570776;9,497599232;0,3162;0,37226279;0,36653339;0,36653339;31,25;33,33333333;37,03703704
-0,2;9,244301578;8,149039693;8,69722708;8,868738864;0,2512;0,308531777;0,309115739;0,309115739;27,02702703;28,57142857;31,25
-0,3;8,054315676;6,485998526;7,611093799;7,985149828;0,1;0,141136408;0,15;0,15;14,08450704;14,70588235;16,12903226
;;;;;0,0631;0,099563511;0,100424189;0,100424189;9,615384615;10,1010101;10,98901099
;;;;;0,05012;0,08083997;0,07949016;0,07949016;7,575757576;8,064516129;9,009009009
;;;;;0,03981;0,075389328;0,065862965;0,065862965;6,849315068;7,246376812;8,130081301
;;;;;0,03162;0,064242939;0,054980008;0,054980008;5,882352941;6,25;6,993006993
;;;;;0,02512;0,054442276;0,046367361;0,046367361;5,050505051;5,434782609;6,024096386
;;;;;0,01;0,027475249;0,0225;0,027475249;2,717391304;2,923976608;3,194888179
;;;;;0,00631;0,018086907;0,015063628;0,018086907;1,821493625;1,941747573;2,145922747
;;;;;0,005012;0,01486161;0,011923524;0,01486161;1,46627566;1,560062402;1,721170396
;;;;;0,003981;0,014005495;0,009879445;0,014005495;1,406469761;1,485884101;1,639344262
;;;;;0,003162;0,012245283;0,008247001;0,012245283;1,152073733;1,291989664;1,410437236
;;;;;0,002512;0,010122017;0,006955104;0,010122017;1,035196687;1,146788991;1,240694789
;;;;;0,001;0,005740353;0,003375;0,005740353;0,673400673;0,723065799;0,778816199
;;;;;0,000631;0,003784533;0,002259544;0,003784533;0,446428571;0,485201359;0,523560209
;;;;;0,0005012;0,002996127;0,001788529;0,002996127;0,351741119;0,385208012;0,42158516
;;;;;0,0003981;0,003489266;0,001481917;0,003489266;0,342817964;0,376931775;0,409165303
;;;;;0,0003162;0,003017254;0,00123705;0,003017254;0,295595625;0,333000333;0,354609929
;;;;;0,0002512;0,00261662;0,001043266;0,00261662;0,254906959;0,286615076;0,310559006
;;;;;0,0001;0,001408312;0,00050625;0,001408312;0,141023833;0,155981906;0,167616494
;;;;;0,0000631;0,000887005;0,000338932;0,000887005;0,092233905;0,106541658;0,112917796
;;;;;0,00005012;0,00067211;0,000268279;0,00067211;0,074465709;0,085528567;0,089863408
;;;;;0,00003981;0,000690353;0,000222288;0,000690353;0,073599764;0,086677646;0,087742388
;;;;;0,00003162;0,000602324;0,000185558;0,000602324;0,063544513;0,071926922;0,081712698
;;;;;0,00002512;0,000524171;0,00015649;0,000524171;0,056116723;0,076816715;0,067123104
