Capacity, 149789
NumReadings, 1000
AppendMode, 1
TimestampResolution, 0.000001
BaseTimestamp, 1424771538.515241
Reading Number, Reading, Measure Function, Measure Range, Status
1, 5.849704e-08, Current, 1e-07, 4
2, 5.010642e-08, Current, 1e-07, 4
3, 4.736268e-08, Current, 1e-07, 4
4, 4.492332e-08, Current, 1e-07, 4
5, 4.280774e-08, Current, 1e-07, 4
6, 4.102144e-08, Current, 1e-07, 4
7, 3.945606e-08, Current, 1e-07, 4
8, 3.808334e-08, Current, 1e-07, 4
9, 3.686956e-08, Current, 1e-07, 4
10, 3.578227e-08, Current, 1e-07, 4
11, 3.482102e-08, Current, 1e-07, 4
12, 3.394748e-08, Current, 1e-07, 4
13, 3.318987e-08, Current, 1e-07, 4
14, 3.255115e-08, Current, 1e-07, 4
15, 3.201826e-08, Current, 1e-07, 4
16, 3.155407e-08, Current, 1e-07, 4
17, 3.115019e-08, Current, 1e-07, 4
18, 3.076863e-08, Current, 1e-07, 4
19, 3.041955e-08, Current, 1e-07, 4
20, 3.008945e-08, Current, 1e-07, 4
21, 2.978842e-08, Current, 1e-07, 4
22, 2.951102e-08, Current, 1e-07, 4
23, 2.926481e-08, Current, 1e-07, 4
24, 2.903335e-08, Current, 1e-07, 4
25, 2.880821e-08, Current, 1e-07, 4
26, 2.860122e-08, Current, 1e-07, 4
27, 2.841234e-08, Current, 1e-07, 4
28, 2.82319e-08, Current, 1e-07, 4
29, 2.809867e-08, Current, 1e-07, 4
30, 2.80506e-08, Current, 1e-07, 4
31, 2.806325e-08, Current, 1e-07, 4
32, 2.809446e-08, Current, 1e-07, 4
33, 2.810541e-08, Current, 1e-07, 4
34, 2.810373e-08, Current, 1e-07, 4
35, 2.809446e-08, Current, 1e-07, 4
36, 2.807506e-08, Current, 1e-07, 4
37, 2.804387e-08, Current, 1e-07, 4
38, 2.800466e-08, Current, 1e-07, 4
39, 2.794732e-08, Current, 1e-07, 4
40, 2.788323e-08, Current, 1e-07, 4
41, 2.781198e-08, Current, 1e-07, 4
42, 2.773188e-08, Current, 1e-07, 4
43, 2.764503e-08, Current, 1e-07, 4
44, 2.755355e-08, Current, 1e-07, 4
45, 2.748525e-08, Current, 1e-07, 4
46, 2.748693e-08, Current, 1e-07, 4
47, 2.75312e-08, Current, 1e-07, 4
48, 2.757589e-08, Current, 1e-07, 4
49, 2.76054e-08, Current, 1e-07, 4
50, 2.760667e-08, Current, 1e-07, 4
51, 2.75957e-08, Current, 1e-07, 4
52, 2.756914e-08, Current, 1e-07, 4
53, 2.753626e-08, Current, 1e-07, 4
54, 2.750169e-08, Current, 1e-07, 4
55, 2.746037e-08, Current, 1e-07, 4
56, 2.740556e-08, Current, 1e-07, 4
57, 2.734907e-08, Current, 1e-07, 4
58, 2.729553e-08, Current, 1e-07, 4
59, 2.723566e-08, Current, 1e-07, 4
60, 2.720404e-08, Current, 1e-07, 4
61, 2.724367e-08, Current, 1e-07, 4
62, 2.73436e-08, Current, 1e-07, 4
63, 2.744814e-08, Current, 1e-07, 4
64, 2.75274e-08, Current, 1e-07, 4
65, 2.758179e-08, Current, 1e-07, 4
66, 2.762606e-08, Current, 1e-07, 4
67, 2.76522e-08, Current, 1e-07, 4
68, 2.766485e-08, Current, 1e-07, 4
69, 2.765937e-08, Current, 1e-07, 4
70, 2.76307e-08, Current, 1e-07, 4
71, 2.759655e-08, Current, 1e-07, 4
72, 2.755313e-08, Current, 1e-07, 4
73, 2.749031e-08, Current, 1e-07, 4
74, 2.742075e-08, Current, 1e-07, 4
75, 2.734739e-08, Current, 1e-07, 4
76, 2.730228e-08, Current, 1e-07, 4
77, 2.731745e-08, Current, 1e-07, 4
78, 2.73596e-08, Current, 1e-07, 4
79, 2.741611e-08, Current, 1e-07, 4
80, 2.746205e-08, Current, 1e-07, 4
81, 2.748652e-08, Current, 1e-07, 4
82, 2.749115e-08, Current, 1e-07, 4
83, 2.748356e-08, Current, 1e-07, 4
84, 2.746122e-08, Current, 1e-07, 4
85, 2.742876e-08, Current, 1e-07, 4
86, 2.739882e-08, Current, 1e-07, 4
87, 2.735708e-08, Current, 1e-07, 4
88, 2.73086e-08, Current, 1e-07, 4
89, 2.725885e-08, Current, 1e-07, 4
90, 2.720867e-08, Current, 1e-07, 4
91, 2.715344e-08, Current, 1e-07, 4
92, 2.714545e-08, Current, 1e-07, 4
93, 2.720362e-08, Current, 1e-07, 4
94, 2.730691e-08, Current, 1e-07, 4
95, 2.741104e-08, Current, 1e-07, 4
96, 2.748188e-08, Current, 1e-07, 4
97, 2.754301e-08, Current, 1e-07, 4
98, 2.758433e-08, Current, 1e-07, 4
99, 2.76113e-08, Current, 1e-07, 4
100, 2.76189e-08, Current, 1e-07, 4
101, 2.760919e-08, Current, 1e-07, 4
102, 2.757884e-08, Current, 1e-07, 4
103, 2.754384e-08, Current, 1e-07, 4
104, 2.749326e-08, Current, 1e-07, 4
105, 2.742918e-08, Current, 1e-07, 4
106, 2.73596e-08, Current, 1e-07, 4
107, 2.729089e-08, Current, 1e-07, 4
108, 2.726939e-08, Current, 1e-07, 4
109, 2.729595e-08, Current, 1e-07, 4
110, 2.734865e-08, Current, 1e-07, 4
111, 2.740135e-08, Current, 1e-07, 4
112, 2.744182e-08, Current, 1e-07, 4
113, 2.745658e-08, Current, 1e-07, 4
114, 2.745151e-08, Current, 1e-07, 4
115, 2.744056e-08, Current, 1e-07, 4
116, 2.741315e-08, Current, 1e-07, 4
117, 2.738618e-08, Current, 1e-07, 4
118, 2.735118e-08, Current, 1e-07, 4
119, 2.730607e-08, Current, 1e-07, 4
120, 2.725463e-08, Current, 1e-07, 4
121, 2.720531e-08, Current, 1e-07, 4
122, 2.715135e-08, Current, 1e-07, 4
123, 2.710918e-08, Current, 1e-07, 4
124, 2.712899e-08, Current, 1e-07, 4
125, 2.721711e-08, Current, 1e-07, 4
126, 2.732588e-08, Current, 1e-07, 4
127, 2.741526e-08, Current, 1e-07, 4
128, 2.748019e-08, Current, 1e-07, 4
129, 2.753457e-08, Current, 1e-07, 4
130, 2.756788e-08, Current, 1e-07, 4
131, 2.758727e-08, Current, 1e-07, 4
132, 2.759317e-08, Current, 1e-07, 4
133, 2.757042e-08, Current, 1e-07, 4
134, 2.754343e-08, Current, 1e-07, 4
135, 2.750422e-08, Current, 1e-07, 4
136, 2.745489e-08, Current, 1e-07, 4
137, 2.738954e-08, Current, 1e-07, 4
138, 2.73145e-08, Current, 1e-07, 4
139, 2.72521e-08, Current, 1e-07, 4
140, 2.72521e-08, Current, 1e-07, 4
141, 2.729005e-08, Current, 1e-07, 4
142, 2.734528e-08, Current, 1e-07, 4
143, 2.739502e-08, Current, 1e-07, 4
144, 2.742791e-08, Current, 1e-07, 4
145, 2.743508e-08, Current, 1e-07, 4
146, 2.742918e-08, Current, 1e-07, 4
147, 2.740641e-08, Current, 1e-07, 4
148, 2.737943e-08, Current, 1e-07, 4
149, 2.735161e-08, Current, 1e-07, 4
150, 2.731282e-08, Current, 1e-07, 4
151, 2.726644e-08, Current, 1e-07, 4
152, 2.721753e-08, Current, 1e-07, 4
153, 2.716737e-08, Current, 1e-07, 4
154, 2.711424e-08, Current, 1e-07, 4
155, 2.7086e-08, Current, 1e-07, 4
156, 2.712225e-08, Current, 1e-07, 4
157, 2.721121e-08, Current, 1e-07, 4
158, 2.732251e-08, Current, 1e-07, 4
159, 2.740556e-08, Current, 1e-07, 4
160, 2.746586e-08, Current, 1e-07, 4
161, 2.751771e-08, Current, 1e-07, 4
162, 2.754765e-08, Current, 1e-07, 4
163, 2.756324e-08, Current, 1e-07, 4
164, 2.756197e-08, Current, 1e-07, 4
165, 2.754301e-08, Current, 1e-07, 4
166, 2.751055e-08, Current, 1e-07, 4
167, 2.747428e-08, Current, 1e-07, 4
168, 2.741737e-08, Current, 1e-07, 4
169, 2.735287e-08, Current, 1e-07, 4
170, 2.728288e-08, Current, 1e-07, 4
171, 2.722807e-08, Current, 1e-07, 4
172, 2.722217e-08, Current, 1e-07, 4
173, 2.72656e-08, Current, 1e-07, 4
174, 2.73183e-08, Current, 1e-07, 4
175, 2.736509e-08, Current, 1e-07, 4
176, 2.740135e-08, Current, 1e-07, 4
177, 2.741231e-08, Current, 1e-07, 4
178, 2.740725e-08, Current, 1e-07, 4
179, 2.738744e-08, Current, 1e-07, 4
180, 2.735329e-08, Current, 1e-07, 4
181, 2.731408e-08, Current, 1e-07, 4
182, 2.726264e-08, Current, 1e-07, 4
183, 2.721078e-08, Current, 1e-07, 4
184, 2.716019e-08, Current, 1e-07, 4
185, 2.710496e-08, Current, 1e-07, 4
186, 2.706281e-08, Current, 1e-07, 4
187, 2.708684e-08, Current, 1e-07, 4
188, 2.717369e-08, Current, 1e-07, 4
189, 2.728415e-08, Current, 1e-07, 4
190, 2.73731e-08, Current, 1e-07, 4
191, 2.744056e-08, Current, 1e-07, 4
192, 2.749283e-08, Current, 1e-07, 4
193, 2.753078e-08, Current, 1e-07, 4
194, 2.755059e-08, Current, 1e-07, 4
195, 2.755355e-08, Current, 1e-07, 4
196, 2.753162e-08, Current, 1e-07, 4
197, 2.750043e-08, Current, 1e-07, 4
198, 2.746333e-08, Current, 1e-07, 4
199, 2.74081e-08, Current, 1e-07, 4
200, 2.734275e-08, Current, 1e-07, 4
201, 2.727402e-08, Current, 1e-07, 4
202, 2.721838e-08, Current, 1e-07, 4
203, 2.72129e-08, Current, 1e-07, 4
204, 2.72521e-08, Current, 1e-07, 4
205, 2.730439e-08, Current, 1e-07, 4
206, 2.735877e-08, Current, 1e-07, 4
207, 2.738618e-08, Current, 1e-07, 4
208, 2.739713e-08, Current, 1e-07, 4
209, 2.738912e-08, Current, 1e-07, 4
210, 2.736973e-08, Current, 1e-07, 4
211, 2.734275e-08, Current, 1e-07, 4
212, 2.731282e-08, Current, 1e-07, 4
213, 2.727276e-08, Current, 1e-07, 4
214, 2.722049e-08, Current, 1e-07, 4
215, 2.717201e-08, Current, 1e-07, 4
216, 2.71193e-08, Current, 1e-07, 4
217, 2.706155e-08, Current, 1e-07, 4
218, 2.704426e-08, Current, 1e-07, 4
219, 2.709823e-08, Current, 1e-07, 4
220, 2.72032e-08, Current, 1e-07, 4
221, 2.730733e-08, Current, 1e-07, 4
222, 2.73828e-08, Current, 1e-07, 4
223, 2.744351e-08, Current, 1e-07, 4
224, 2.749031e-08, Current, 1e-07, 4
225, 2.751434e-08, Current, 1e-07, 4
226, 2.752993e-08, Current, 1e-07, 4
227, 2.752488e-08, Current, 1e-07, 4
228, 2.749621e-08, Current, 1e-07, 4
229, 2.746459e-08, Current, 1e-07, 4
230, 2.741947e-08, Current, 1e-07, 4
231, 2.736003e-08, Current, 1e-07, 4
232, 2.729046e-08, Current, 1e-07, 4
233, 2.722343e-08, Current, 1e-07, 4
234, 2.718211e-08, Current, 1e-07, 4
235, 2.720151e-08, Current, 1e-07, 4
236, 2.724409e-08, Current, 1e-07, 4
237, 2.730101e-08, Current, 1e-07, 4
238, 2.734739e-08, Current, 1e-07, 4
239, 2.737225e-08, Current, 1e-07, 4
240, 2.737142e-08, Current, 1e-07, 4
241, 2.73613e-08, Current, 1e-07, 4
242, 2.733896e-08, Current, 1e-07, 4
243, 2.730775e-08, Current, 1e-07, 4
244, 2.727866e-08, Current, 1e-07, 4
245, 2.723734e-08, Current, 1e-07, 4
246, 2.718549e-08, Current, 1e-07, 4
247, 2.713953e-08, Current, 1e-07, 4
248, 2.70919e-08, Current, 1e-07, 4
249, 2.703456e-08, Current, 1e-07, 4
