Capacity, 149789
NumReadings, 1000
AppendMode, 1
TimestampResolution, 0.000001
BaseTimestamp, 1424680661.392676
Reading Number, Reading, Measure Function, Measure Range, Status
1, 3.547833e-06, Current, 1e-05, 140
2, 3.484696e-06, Current, 1e-05, 140
3, 3.500026e-06, Current, 1e-05, 140
4, 3.509052e-06, Current, 1e-05, 140
5, 3.511878e-06, Current, 1e-05, 140
6, 3.50492e-06, Current, 1e-05, 140
7, 3.486181e-06, Current, 1e-05, 140
8, 3.462986e-06, Current, 1e-05, 140
9, 3.441384e-06, Current, 1e-05, 140
10, 3.419238e-06, Current, 1e-05, 140
11, 3.401261e-06, Current, 1e-05, 140
12, 3.390715e-06, Current, 1e-05, 140
13, 3.391513e-06, Current, 1e-05, 140
14, 3.403364e-06, Current, 1e-05, 140
15, 3.422863e-06, Current, 1e-05, 140
16, 3.449285e-06, Current, 1e-05, 140
17, 3.475961e-06, Current, 1e-05, 140
18, 3.496004e-06, Current, 1e-05, 140
19, 3.507856e-06, Current, 1e-05, 140
20, 3.510466e-06, Current, 1e-05, 140
21, 3.505826e-06, Current, 1e-05, 140
22, 3.488284e-06, Current, 1e-05, 140
23, 3.464689e-06, Current, 1e-05, 140
24, 3.442544e-06, Current, 1e-05, 140
25, 3.420073e-06, Current, 1e-05, 140
26, 3.401914e-06, Current, 1e-05, 140
27, 3.390062e-06, Current, 1e-05, 140
28, 3.391476e-06, Current, 1e-05, 140
29, 3.407967e-06, Current, 1e-05, 140
30, 3.432395e-06, Current, 1e-05, 140
31, 3.460195e-06, Current, 1e-05, 140
32, 3.485892e-06, Current, 1e-05, 140
33, 3.503325e-06, Current, 1e-05, 140
34, 3.510899e-06, Current, 1e-05, 140
35, 3.51032e-06, Current, 1e-05, 140
36, 3.4972e-06, Current, 1e-05, 140
37, 3.475019e-06, Current, 1e-05, 140
38, 3.452076e-06, Current, 1e-05, 140
39, 3.430438e-06, Current, 1e-05, 140
40, 3.409452e-06, Current, 1e-05, 140
41, 3.394266e-06, Current, 1e-05, 140
42, 3.390353e-06, Current, 1e-05, 140
43, 3.396405e-06, Current, 1e-05, 140
44, 3.412824e-06, Current, 1e-05, 140
45, 3.436165e-06, Current, 1e-05, 140
46, 3.461355e-06, Current, 1e-05, 140
47, 3.486617e-06, Current, 1e-05, 140
48, 3.503542e-06, Current, 1e-05, 140
49, 3.511625e-06, Current, 1e-05, 140
50, 3.512096e-06, Current, 1e-05, 140
51, 3.503361e-06, Current, 1e-05, 140
52, 3.48252e-06, Current, 1e-05, 140
53, 3.459179e-06, Current, 1e-05, 140
54, 3.436092e-06, Current, 1e-05, 140
55, 3.415071e-06, Current, 1e-05, 140
56, 3.398579e-06, Current, 1e-05, 140
57, 3.391657e-06, Current, 1e-05, 140
58, 3.395789e-06, Current, 1e-05, 140
59, 3.410612e-06, Current, 1e-05, 140
60, 3.4312e-06, Current, 1e-05, 140
61, 3.455953e-06, Current, 1e-05, 140
62, 3.482268e-06, Current, 1e-05, 140
63, 3.501005e-06, Current, 1e-05, 140
64, 3.50916e-06, Current, 1e-05, 140
65, 3.511009e-06, Current, 1e-05, 140
66, 3.505282e-06, Current, 1e-05, 140
67, 3.486254e-06, Current, 1e-05, 140
68, 3.464508e-06, Current, 1e-05, 140
69, 3.441348e-06, Current, 1e-05, 140
70, 3.419565e-06, Current, 1e-05, 140
71, 3.401226e-06, Current, 1e-05, 140
72, 3.391331e-06, Current, 1e-05, 140
73, 3.391367e-06, Current, 1e-05, 140
74, 3.404089e-06, Current, 1e-05, 140
75, 3.423189e-06, Current, 1e-05, 140
76, 3.448343e-06, Current, 1e-05, 140
77, 3.473605e-06, Current, 1e-05, 140
78, 3.495605e-06, Current, 1e-05, 140
79, 3.507856e-06, Current, 1e-05, 140
80, 3.513582e-06, Current, 1e-05, 140
81, 3.509922e-06, Current, 1e-05, 140
82, 3.493938e-06, Current, 1e-05, 140
83, 3.471393e-06, Current, 1e-05, 140
84, 3.448017e-06, Current, 1e-05, 140
85, 3.427068e-06, Current, 1e-05, 140
86, 3.406662e-06, Current, 1e-05, 140
87, 3.394085e-06, Current, 1e-05, 140
88, 3.391367e-06, Current, 1e-05, 140
89, 3.401007e-06, Current, 1e-05, 140
90, 3.418261e-06, Current, 1e-05, 140
91, 3.440732e-06, Current, 1e-05, 140
92, 3.466175e-06, Current, 1e-05, 140
93, 3.491183e-06, Current, 1e-05, 140
94, 3.505645e-06, Current, 1e-05, 140
95, 3.511842e-06, Current, 1e-05, 140
96, 3.511842e-06, Current, 1e-05, 140
97, 3.49941e-06, Current, 1e-05, 140
98, 3.479186e-06, Current, 1e-05, 140
99, 3.455301e-06, Current, 1e-05, 140
100, 3.433047e-06, Current, 1e-05, 140
101, 3.412135e-06, Current, 1e-05, 140
102, 3.396188e-06, Current, 1e-05, 140
103, 3.390969e-06, Current, 1e-05, 140
104, 3.396985e-06, Current, 1e-05, 140
105, 3.412497e-06, Current, 1e-05, 140
106, 3.433664e-06, Current, 1e-05, 140
107, 3.463094e-06, Current, 1e-05, 140
108, 3.488284e-06, Current, 1e-05, 140
109, 3.504339e-06, Current, 1e-05, 140
110, 3.512278e-06, Current, 1e-05, 140
111, 3.51235e-06, Current, 1e-05, 140
112, 3.500824e-06, Current, 1e-05, 140
113, 3.480745e-06, Current, 1e-05, 140
114, 3.456788e-06, Current, 1e-05, 140
115, 3.434497e-06, Current, 1e-05, 140
116, 3.413838e-06, Current, 1e-05, 140
117, 3.398144e-06, Current, 1e-05, 140
118, 3.391802e-06, Current, 1e-05, 140
119, 3.397202e-06, Current, 1e-05, 140
120, 3.412969e-06, Current, 1e-05, 140
121, 3.435113e-06, Current, 1e-05, 140
122, 3.461862e-06, Current, 1e-05, 140
123, 3.487052e-06, Current, 1e-05, 140
124, 3.503433e-06, Current, 1e-05, 140
125, 3.510356e-06, Current, 1e-05, 140
126, 3.513328e-06, Current, 1e-05, 140
127, 3.50376e-06, Current, 1e-05, 140
128, 3.485203e-06, Current, 1e-05, 140
129, 3.462405e-06, Current, 1e-05, 140
130, 3.440224e-06, Current, 1e-05, 140
131, 3.418151e-06, Current, 1e-05, 140
132, 3.400645e-06, Current, 1e-05, 140
133, 3.391186e-06, Current, 1e-05, 140
134, 3.392962e-06, Current, 1e-05, 140
135, 3.406299e-06, Current, 1e-05, 140
136, 3.42569e-06, Current, 1e-05, 140
137, 3.450699e-06, Current, 1e-05, 140
138, 3.476287e-06, Current, 1e-05, 140
139, 3.497091e-06, Current, 1e-05, 140
140, 3.509087e-06, Current, 1e-05, 140
141, 3.514488e-06, Current, 1e-05, 140
142, 3.509124e-06, Current, 1e-05, 140
143, 3.494554e-06, Current, 1e-05, 140
144, 3.472228e-06, Current, 1e-05, 140
145, 3.449249e-06, Current, 1e-05, 140
146, 3.428372e-06, Current, 1e-05, 140
147, 3.408075e-06, Current, 1e-05, 140
148, 3.395318e-06, Current, 1e-05, 140
149, 3.391911e-06, Current, 1e-05, 140
150, 3.399957e-06, Current, 1e-05, 140
151, 3.416158e-06, Current, 1e-05, 140
152, 3.438049e-06, Current, 1e-05, 140
153, 3.462877e-06, Current, 1e-05, 140
154, 3.489045e-06, Current, 1e-05, 140
155, 3.503941e-06, Current, 1e-05, 140
156, 3.51293e-06, Current, 1e-05, 140
157, 3.51293e-06, Current, 1e-05, 140
158, 3.503252e-06, Current, 1e-05, 140
159, 3.485022e-06, Current, 1e-05, 140
160, 3.460339e-06, Current, 1e-05, 140
161, 3.435984e-06, Current, 1e-05, 140
162, 3.409888e-06, Current, 1e-05, 140
163, 3.39336e-06, Current, 1e-05, 140
164, 3.392563e-06, Current, 1e-05, 140
165, 3.403871e-06, Current, 1e-05, 140
166, 3.423769e-06, Current, 1e-05, 140
167, 3.449104e-06, Current, 1e-05, 140
168, 3.474838e-06, Current, 1e-05, 140
169, 3.495931e-06, Current, 1e-05, 140
170, 3.508073e-06, Current, 1e-05, 140
171, 3.513619e-06, Current, 1e-05, 140
172, 3.508906e-06, Current, 1e-05, 140
173, 3.493938e-06, Current, 1e-05, 140
174, 3.470125e-06, Current, 1e-05, 140
175, 3.44827e-06, Current, 1e-05, 140
176, 3.425908e-06, Current, 1e-05, 140
177, 3.407605e-06, Current, 1e-05, 140
178, 3.394484e-06, Current, 1e-05, 140
179, 3.3926e-06, Current, 1e-05, 140
180, 3.401588e-06, Current, 1e-05, 140
181, 3.420036e-06, Current, 1e-05, 140
182, 3.442798e-06, Current, 1e-05, 140
183, 3.467951e-06, Current, 1e-05, 140
184, 3.492706e-06, Current, 1e-05, 140
185, 3.507675e-06, Current, 1e-05, 140
186, 3.514162e-06, Current, 1e-05, 140
187, 3.514306e-06, Current, 1e-05, 140
188, 3.503433e-06, Current, 1e-05, 140
189, 3.482122e-06, Current, 1e-05, 140
190, 3.45936e-06, Current, 1e-05, 140
191, 3.437288e-06, Current, 1e-05, 140
192, 3.415977e-06, Current, 1e-05, 140
193, 3.400138e-06, Current, 1e-05, 140
194, 3.392672e-06, Current, 1e-05, 140
195, 3.397057e-06, Current, 1e-05, 140
196, 3.410939e-06, Current, 1e-05, 140
197, 3.431454e-06, Current, 1e-05, 140
198, 3.458129e-06, Current, 1e-05, 140
199, 3.485457e-06, Current, 1e-05, 140
200, 3.50347e-06, Current, 1e-05, 140
201, 3.512169e-06, Current, 1e-05, 140
202, 3.514125e-06, Current, 1e-05, 140
203, 3.50463e-06, Current, 1e-05, 140
204, 3.485348e-06, Current, 1e-05, 140
205, 3.462369e-06, Current, 1e-05, 140
206, 3.440405e-06, Current, 1e-05, 140
207, 3.418586e-06, Current, 1e-05, 140
208, 3.40032e-06, Current, 1e-05, 140
209, 3.392019e-06, Current, 1e-05, 140
210, 3.395426e-06, Current, 1e-05, 140
211, 3.408294e-06, Current, 1e-05, 140
212, 3.429097e-06, Current, 1e-05, 140
213, 3.453054e-06, Current, 1e-05, 140
214, 3.478788e-06, Current, 1e-05, 140
215, 3.498106e-06, Current, 1e-05, 140
216, 3.509306e-06, Current, 1e-05, 140
217, 3.51293e-06, Current, 1e-05, 140
218, 3.509487e-06, Current, 1e-05, 140
219, 3.493685e-06, Current, 1e-05, 140
220, 3.470814e-06, Current, 1e-05, 140
221, 3.448017e-06, Current, 1e-05, 140
222, 3.425364e-06, Current, 1e-05, 140
223, 3.406807e-06, Current, 1e-05, 140
224, 3.393541e-06, Current, 1e-05, 140
225, 3.394158e-06, Current, 1e-05, 140
226, 3.404524e-06, Current, 1e-05, 140
227, 3.422972e-06, Current, 1e-05, 140
228, 3.445443e-06, Current, 1e-05, 140
229, 3.469981e-06, Current, 1e-05, 140
230, 3.493829e-06, Current, 1e-05, 140
231, 3.508109e-06, Current, 1e-05, 140
232, 3.514416e-06, Current, 1e-05, 140
233, 3.512313e-06, Current, 1e-05, 140
234, 3.49912e-06, Current, 1e-05, 140
235, 3.478932e-06, Current, 1e-05, 140
236, 3.455737e-06, Current, 1e-05, 140
237, 3.432033e-06, Current, 1e-05, 140
238, 3.411736e-06, Current, 1e-05, 140
239, 3.397057e-06, Current, 1e-05, 140
240, 3.392998e-06, Current, 1e-05, 140
241, 3.398144e-06, Current, 1e-05, 140
242, 3.415324e-06, Current, 1e-05, 140
243, 3.436673e-06, Current, 1e-05, 140
244, 3.460666e-06, Current, 1e-05, 140
245, 3.486508e-06, Current, 1e-05, 140
246, 3.503433e-06, Current, 1e-05, 140
247, 3.512386e-06, Current, 1e-05, 140
248, 3.513727e-06, Current, 1e-05, 140
249, 3.505645e-06, Current, 1e-05, 140
250, 3.485421e-06, Current, 1e-05, 140
251, 3.460811e-06, Current, 1e-05, 140
252, 3.437325e-06, Current, 1e-05, 140
253, 3.415795e-06, Current, 1e-05, 140
254, 3.399087e-06, Current, 1e-05, 140
255, 3.392454e-06, Current, 1e-05, 140
256, 3.395353e-06, Current, 1e-05, 140
257, 3.40996e-06, Current, 1e-05, 140
258, 3.430184e-06, Current, 1e-05, 140
259, 3.455157e-06, Current, 1e-05, 140
260, 3.479078e-06, Current, 1e-05, 140
261, 3.499012e-06, Current, 1e-05, 140
262, 3.509233e-06, Current, 1e-05, 140
263, 3.513981e-06, Current, 1e-05, 140
264, 3.509087e-06, Current, 1e-05, 140
265, 3.493104e-06, Current, 1e-05, 140
266, 3.470597e-06, Current, 1e-05, 140
267, 3.447546e-06, Current, 1e-05, 140
268, 3.426451e-06, Current, 1e-05, 140
269, 3.408221e-06, Current, 1e-05, 140
270, 3.394194e-06, Current, 1e-05, 140
271, 3.392781e-06, Current, 1e-05, 140
272, 3.401298e-06, Current, 1e-05, 140
273, 3.418513e-06, Current, 1e-05, 140
274, 3.441421e-06, Current, 1e-05, 140
275, 3.46661e-06, Current, 1e-05, 140
276, 3.48948e-06, Current, 1e-05, 140
277, 3.504956e-06, Current, 1e-05, 140
278, 3.51177e-06, Current, 1e-05, 140
279, 3.512894e-06, Current, 1e-05, 140
280, 3.503977e-06, Current, 1e-05, 140
281, 3.485022e-06, Current, 1e-05, 140
282, 3.460811e-06, Current, 1e-05, 140
283, 3.439318e-06, Current, 1e-05, 140
284, 3.417354e-06, Current, 1e-05, 140
285, 3.398579e-06, Current, 1e-05, 140
286, 3.392527e-06, Current, 1e-05, 140
287, 3.395353e-06, Current, 1e-05, 140
288, 3.409417e-06, Current, 1e-05, 140
289, 3.428699e-06, Current, 1e-05, 140
290, 3.45396e-06, Current, 1e-05, 140
291, 3.481397e-06, Current, 1e-05, 140
292, 3.50463e-06, Current, 1e-05, 140
293, 3.514416e-06, Current, 1e-05, 140
294, 3.514597e-06, Current, 1e-05, 140
295, 3.499483e-06, Current, 1e-05, 140
296, 3.477882e-06, Current, 1e-05, 140
297, 3.454214e-06, Current, 1e-05, 140
298, 3.432178e-06, Current, 1e-05, 140
299, 3.411881e-06, Current, 1e-05, 140
300, 3.396948e-06, Current, 1e-05, 140
301, 3.393216e-06, Current, 1e-05, 140
302, 3.400972e-06, Current, 1e-05, 140
303, 3.41855e-06, Current, 1e-05, 140
304, 3.44084e-06, Current, 1e-05, 140
305, 3.466211e-06, Current, 1e-05, 140
306, 3.490713e-06, Current, 1e-05, 140
307, 3.507276e-06, Current, 1e-05, 140
308, 3.513944e-06, Current, 1e-05, 140
309, 3.514525e-06, Current, 1e-05, 140
310, 3.504593e-06, Current, 1e-05, 140
311, 3.485421e-06, Current, 1e-05, 140
312, 3.461789e-06, Current, 1e-05, 140
313, 3.440043e-06, Current, 1e-05, 140
314, 3.417934e-06, Current, 1e-05, 140
315, 3.400537e-06, Current, 1e-05, 140
316, 3.392781e-06, Current, 1e-05, 140
317, 3.397057e-06, Current, 1e-05, 140
318, 3.411809e-06, Current, 1e-05, 140
319, 3.431381e-06, Current, 1e-05, 140
320, 3.457186e-06, Current, 1e-05, 140
321, 3.481035e-06, Current, 1e-05, 140
322, 3.502129e-06, Current, 1e-05, 140
323, 3.512459e-06, Current, 1e-05, 140
324, 3.516518e-06, Current, 1e-05, 140
325, 3.511299e-06, Current, 1e-05, 140
326, 3.493756e-06, Current, 1e-05, 140
327, 3.471177e-06, Current, 1e-05, 140
328, 3.448052e-06, Current, 1e-05, 140
329, 3.426887e-06, Current, 1e-05, 140
330, 3.407858e-06, Current, 1e-05, 140
331, 3.396188e-06, Current, 1e-05, 140
332, 3.394448e-06, Current, 1e-05, 140
333, 3.404052e-06, Current, 1e-05, 140
334, 3.422066e-06, Current, 1e-05, 140
335, 3.445769e-06, Current, 1e-05, 140
336, 3.470741e-06, Current, 1e-05, 140
337, 3.494554e-06, Current, 1e-05, 140
338, 3.508689e-06, Current, 1e-05, 140
339, 3.51496e-06, Current, 1e-05, 140
340, 3.514125e-06, Current, 1e-05, 140
341, 3.502492e-06, Current, 1e-05, 140
342, 3.482739e-06, Current, 1e-05, 140
343, 3.458419e-06, Current, 1e-05, 140
344, 3.438267e-06, Current, 1e-05, 140
345, 3.416991e-06, Current, 1e-05, 140
346, 3.400609e-06, Current, 1e-05, 140
347, 3.393397e-06, Current, 1e-05, 140
