Index	Average	Scarto
0	8303.5210	129.9141
1	8446.1290	1252.9251
2	7391.1120	118.0537
3	8368.2330	1046.3005
4	7908.7290	123.4029
5	8166.3290	1072.5851
6	7657.4180	120.1200
7	8893.7060	935.1781
8	7957.7990	121.6306
9	8589.7490	1309.7438
10	7555.2860	117.7118
11	7804.0620	977.8894
12	6006.2420	95.0316
13	9104.7810	830.0980
14	9141.3390	139.0177
15	9235.2900	1405.5801
16	8558.2980	134.0088
17	9739.2290	1078.9386
18	9571.2070	148.7937
19	10225.3950	1244.4750
20	8839.2800	136.3767
21	9256.8270	1090.7924
22	9101.4800	143.3268
23	9018.6190	1301.7035
24	6768.0510	105.0149
25	8468.2750	754.9244
26	8813.3280	139.5305
27	9249.9480	1350.3540
28	9479.8730	146.6887
29	9329.6020	1138.2090
30	9475.2640	149.1055
31	10244.6570	1458.3252
32	8574.7460	134.2417
33	9821.4850	1228.5156
34	8875.7630	139.3467
35	8953.4490	1071.5012
36	6149.1630	96.5222
37	8644.2360	1040.3329
38	8865.4430	139.4128
39	9787.5270	1540.2605
40	9485.6950	153.5528
41	9842.5710	1202.9488
42	9046.2240	147.4256
43	9458.3350	1135.6620
44	8766.1940	142.0978
45	9914.4790	1428.1775
46	9400.7460	162.0077
47	8663.1220	1158.6877
48	7634.9270	122.6678
49	9221.6350	1072.0481
50	8477.6900	135.3755
51	9156.9830	1003.3257
52	8953.9260	141.3873
53	8823.3310	901.3415
54	8432.5380	142.4776
55	9715.3210	1167.1050
56	8814.2850	143.1568
57	9321.7500	1111.4500
58	8647.8460	138.5127
59	8332.0530	1359.6436
60	5076.9710	81.9592
61	7208.7810	644.9881
62	6925.7500	114.9558
63	7259.9850	940.5786
64	7064.8480	113.0029
65	8427.5520	1133.8674
66	7279.1600	117.9917
67	7532.3790	894.6865
68	7167.6880	115.7650
69	8315.3720	1007.5672
70	7619.2570	124.7760
71	7223.4740	1144.1639
72	1106087.0000	0.0000
73	1.0000	0.0000
74	3.0000	0.0000
75	1.0000	0.0000
